brand,sub_kategori,nama_produk,url
Skintific,Panthenol,Skintific,https://th.bing.com/th/id/OIP.xp3zB3ixp6bRwIjM7n9ZMQHaHa?w=195&h=195&c=7&r=0&o=5&dpr=1.5&pid=1.7
Skintific,Niacinemide Toner,Skintific,https://th.bing.com/th/id/OIP.18i4Vy3e0p1ozKLNWac_vgHaHa?w=195&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
Skintific,Dark Spot Serum,Skintific,https://th.bing.com/th/id/OIP.MwDAQ9FrS8WHSHrZ1VXtpwHaHa?w=187&h=187&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
Skintific,Moisturizer 5x Ceramide Light Texture,Skintific,https://th.bing.com/th/id/OIP._wN5ZwEMAdrHXENBJWItBgHaHa?w=185&h=185&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
Skintific,Daily sunscrean,Skintific,https://skintific.com/cdn/shop/files/122_1.2-en.jpg?v=1725593453&width=1800
Glad2Glow,Micellar Water,G2G,https://th.bing.com/th/id/OIP.KMdtvypSiWD8wW_mA1fl5gHaHa?w=196&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
Glad2Glow,Face wash,G2G,https://img.lazcdn.com/g/p/dcd002a356d30597f369afbb2e45727c.jpg_720x720q80.jpg
Glad2Glow,Ceramide Moisturizer,G2G,https://api.watsons.co.id/medias/zoom-front-37285.jpg?context=bWFzdGVyfGltYWdlc3wzNTUwMHxpbWFnZS9qcGVnfGFEaGlMMmc1TlM4eE1qTTRNamM1TWpJeU1EY3dNaTlYVkVOSlJDMHpOekk0TlMxbWNtOXVkQzVxY0djfGRjMzNmNjM4NjJjNjAxNGJlM2U3YTJkMjJiYjcyYTlkYjYxN2RhZmNjMjI2YTQ0YzhhZGYzYTgzMWM5ODYxOGI
Glad2Glow,Pomergranate Serum,G2G,https://th.bing.com/th/id/OIP.rHizMouBBmiSx-OP7oj3-QHaHa?w=195&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
The Originote,Micellar Water,The Originote,https://enviostore.com/media/product/969/product_image-1707904876.jpeg
The Originote,Facial Cleanser,The Originote,https://th.bing.com/th/id/OIP.lv4pj2ZJCAo566JVMfA2pAAAAA?w=195&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
The Originote,Brightening Moisturizer,The Originote,https://th.bing.com/th/id/OIP.IjVpF96Z6shT6Sou4a9IpgHaHa?w=195&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
The Originote,Niacinemide serum,The Originote,https://th.bing.com/th/id/OIP.xtlgR81EDafe5MGN0YZFxAHaJY?w=163&h=206&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
The Originote,Cica-B5 soothing essence toner,The Originote,https://th.bing.com/th/id/OIP.BV43GhCebBL6Oh3R4ON-sgHaHa?w=195&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
The Originote,Mugwort B3 Clay Stick/masker wajah,The Originote,https://api.watsons.com.my/medias/zoom-swatch-1005252.jpg?context=bWFzdGVyfHd0Y215L2ltYWdlc3wxMTExNzl8aW1hZ2UvanBlZ3xhR014TDJoaFpTOHhORFEyTURFek5EZzRNek0xT0M5WFZFTk5XUzB4TURBMU1qVXlMWE4zWVhSamFDNXFjR2N8NjhhNzFlOWQzNzcyYzQ2NTQwZGVlM2I0NjJkYzlhZTZmZDFjNDg3OTE0M2IyNjc4NjhlNmM3MjExNzc4ZjM0Mg
The Originote,Caramella Sunscrean,The Originote,https://th.bing.com/th/id/OIP.EGt-6PStdw_WNI8JNOVm6AHaHa?w=195&h=195&c=7&r=0&o=7&dpr=1.5&pid=1.7&rm=3
Scarlett Whitening,Facial Wash,Scarlett,
Scarlett Whitening,Acne Essence Toner,Scarlett,
Scarlett Whitening,Ceramide moisturizer,Scarlett,
Scarlett Whitening,Niacinemide serum,Scarlett,
White Cell DnA,Facial Wash,Ms Glow Cell DnA,
White Cell DnA,WhitecallDNA Toner,Ms Glow Cell DnA,
White Cell DnA,Calm Blemish Moisturizer,Ms Glow Cell DnA,
White Cell DnA,Whitecell DnA Serum,Ms Glow Cell DnA,
Scora Whitening,Micellar Cleansing Water,Scora,
Scora Whitening,Gentle Low Ph Cleanser,Scora,
Scora Whitening,Abutin serum,Scora,
Scora Whitening,Bright me up sunscrean,Scora,
Bening's Skincare,Facial Wash,Benings,
Bening's Skincare,Daily sunscrean,Benings,
Wardah,Bright+ tone up micellar water,Wardah,
Wardah,Facial wash Nature Daily,Wardah,
Wardah,Essence Toner,Wardah,
Wardah,Glowshot Day Moisturizer,Wardah,
Wardah,Acne calming sunscrean,Wardah,
Pond's,Micellar miracle water,Pond's,
Pond's,Facial foam,Pond's,
Pond's,Night Serum,Pond's,
Pond's,Brightening Moisturizer,Pond's,
Emina,Micellar Water,Emina Bright Stuff Acne,
Emina,face wash,Emina Bright Stuff Acne,
Emina,Emina bright stuff face toner,Emina Bright Stuff Acne,
Emina,Emina bright stuff face serum,Emina Bright Stuff Acne,
